49	236	0,68	347,0588235
2	39	0,12	325
3	42	0,13	323,0769231
28	122	0,39	312,8205128
40	167	0,54	309,2592593
23	92	0,32	287,5
41	162	0,57	284,2105263
36	142	0,5	284
30	117	0,43	272,0930233
20	81	0,3	270
52	191	0,71	269,0140845
64	237	0,9	263,3333333
21	78	0,3	260
6	44	0,17	258,8235294
9	56	0,22	254,5454545
14	63	0,26	242,3076923
73	239	1,01	236,6336634
32	106	0,46	230,4347826
43	133	0,58	229,3103448
60	171	0,79	216,4556962
22	67	0,31	216,1290323
35	106	0,5	212
46	136	0,65	209,2307692
44	125	0,6	208,3333333
4	29	0,14	207,1428571
84	237	1,16	204,3103448
33	100	0,49	204,0816327
69	189	0,93	203,2258065
45	130	0,64	203,125
79	222	1,1	201,8181818
65	181	0,9	201,1111111
1	22	0,11	200
58	157	0,79	198,7341772
68	171	0,91	187,9120879
51	133	0,71	187,3239437
11	43	0,23	186,9565217
27	67	0,37	181,0810811
42	103	0,57	180,7017544
55	137	0,76	180,2631579
5	27	0,15	180
78	197	1,1	179,0909091
82	202	1,13	178,7610619
38	94	0,53	177,3584906
75	184	1,04	176,9230769
61	142	0,81	175,308642
50	119	0,68	175
34	85	0,49	173,4693878
77	187	1,08	173,1481481
72	170	1	170
59	133	0,79	168,3544304
48	108	0,66	163,6363636
93	224	1,41	158,8652482
26	54	0,34	158,8235294
18	46	0,29	158,6206897
54	118	0,75	157,3333333
81	172	1,11	154,954955
74	157	1,03	152,4271845
7	27	0,18	150
96	224	1,51	148,3443709
66	134	0,91	147,2527473
53	105	0,72	145,8333333
90	193	1,34	144,0298507
67	131	0,91	143,956044
56	111	0,78	142,3076923
97	223	1,58	141,1392405
10	31	0,22	140,9090909
13	35	0,25	140
76	150	1,08	138,8888889
95	204	1,48	137,8378378
25	44	0,32	137,5
70	132	0,97	136,0824742
87	166	1,23	134,9593496
71	129	1	129
57	100	0,78	128,2051282
63	112	0,88	127,2727273
98	222	1,77	125,4237288
