1	60	0.66
2	11	0.08
3	117	0.55
4	27	0.28
5	176	0.43
6	48	0.21
7	190	2.95
8	150	1.38
9	143	0.36
10	183	2.26
11	98	1.09
12	153	2.4
13	101	0.4
14	41	0.13
15	181	1.9
16	158	2.52
17	58	0.55
18	139	1.73
19	85	1.11
20	205	2.92
21	62	0.68
22	81	1
23	74	0.53
24	46	0.25
25	49	0.73
26	67	0.29
27	109	0.49
28	71	0.16
29	164	2.26
30	187	1.28
31	207	2.15
32	95	0.23
33	179	1.71
34	172	1.91
35	216	0.33
36	17	0.12
37	136	0.72
38	190	2.25
39	211	3.38
40	141	1.7
41	184	2.45
42	124	0.74
43	89	0.65
44	60	0.47
45	94	1.51
46	40	0.15
47	108	1.43
48	164	2.01
49	182	2.37
50	119	0.65
51	221	1.3
52	188	1.75
53	198	3.03
54	19	0.07
55	165	1.17
56	200	1.01
57	162	0.95
58	71	0.2
59	131	1.31
60	193	1.92
61	187	0.58
62	219	2.44
63	18	0.23
64	26	0.1
65	148	1.74
66	180	1.05
67	187	1.59
68	42	0.67
69	49	0.47
70	173	0.28
71	91	1.05
72	98	1.04
73	68	0.67
74	115	0.54
75	215	3.11
76	104	1.29
77	211	2.49
78	143	0.6
79	15	0.04
80	38	0.43
81	47	0.16
82	153	0.35
83	63	0.49
84	169	1.74
85	202	2.09
86	195	1.64
87	140	1.89
88	47	0.71
89	19	0.06
90	176	0.24
91	108	1.4
92	34	0.12
93	183	2.79
94	194	1.38
95	125	0.27
96	23	0.2
97	30	0.11
98	162	0.84	
